Budget Calendar with Daily Balance,,,,,,,,,,,,,,,,,,,
Year:,2024,,Month:,5,,Start Day:,1,"1=Sun, 2=Mon …",,,,,,,,,,© 2020 Vertex42 LLC,
,,,,,,,,,,,,,,,,,,https://www.vertex42.com/calendars/budget-calendar.html,
,,,,,,,,,,,,,,,,,,,
MAY 2024,,,,,,,,,,,Start Balance ,,,,,Cash In ,"$5,150.00 ",,
,,,,,,,,,,,End Balance ,"$1,999.45 ",,,,Cash Out ,"$-3,150.55 ",,
,,,,,,,,,,,,,,,,,,,
Date:,5/1/24,,,,,,,,,,,,,,,,,,
Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,,MONTHLY BILLS,,,,
,-,,-,,-,1,-,2,-,3,-,4,-,,BILL,DAY,AMOUNT,DUE DATE,BANK
,,,,,,,,,,,,,,,Ulta,1,,5/1/24,
,,,,,,,,,,,,,,,Payday 1,3,,5/3/24,
,,,,,,,,,,,,,,,oore jewelery,6,,5/6/24,
,,,,,,,,,,,,,,,Chase,8,,5/8/24,
BAL:,-,,-,,-,,-,,-,,-,,-,,American Express,9,,5/9/24,
5,-,6,-,7,-,8,-,9,-,10,"1,900.00",11,-300.00,,Payday 3,10,"1,400.00",5/10/24,
,,,,,,,,,,,,,,,Payday 2,10,500.00,5/10/24,
,,,,,,,,,,,,,,,,10,,5/10/24,
,,,,,,,,,,,,,,,Bank of America,11,,5/11/24,
,,,,,,,,,,,,,,,Groceries,11,-300.00,5/11/24,
BAL:,-,,-,,-,,-,,-,,"1,900.00",,"1,600.00",,Foothill Credit Union,12,-144.00,5/12/24,
12,-144.00,13,-,14,-506.56,15,-60.00,16,-44.00,17,545.00,18,-,,Auto Loan,14,-506.56,5/14/24,
,,,,,,,,,,,,,,,Discover,15,-60.00,5/15/24,
,,,,,,,,,,,,,,,Spectrum,16,-44.00,5/16/24,
,,,,,,,,,,,,,,,Payday 6,17,600.00,5/17/24,
,,,,,,,,,,,,,,,Nocturnal,17,-55.00,5/17/24,
BAL:,"1,456.00",,"1,456.00",,949.44,,889.44,,845.44,,"1,390.44",,"1,390.44",,Sephora,21,-47.00,5/21/24,
19,-,20,-42.00,21,-61.99,22,-400.00,23,-,24,650.00,25,-65.00,,Amazon Prime,21,-14.99,5/21/24,
,,,,,,,,,,,,,,,T-Mobile Chris,22,-280.00,5/22/24,
,,,,,,,,,,,,,,,Wells Fargo,22,-120.00,5/22/24,
,,,,,,,,,,,,,,,Payday 8,24,650.00,5/24/24,
,,,,,,,,,,,,,,,home depot,25,-65.00,5/25/24,
BAL:,"1,390.44",,"1,348.44",,"1,286.45",,886.45,,886.45,,"1,536.45",,"1,471.45",,Insurance,28,-172.00,5/28/24,
26,-,27,-,28,-172.00,29,-,30,-,31,700.00,,-,,Rent EOM,31,"-1,300.00",5/31/24,
,,,,,,,,,,,,,,,Payday 7,31,"1,400.00",5/31/24,
,,,,,,,,,,,,,,,Payday 4,31,600.00,5/31/24,
,,,,,,,,,,,,,,,Edison,20,-42.00,5/20/24,
,,,,,,,,,,,,,,,,,,-,
,,,,,,,,,,,,,,,,,,,
BAL:,"1,471.45",,"1,471.45",,"1,299.45",,"1,299.45",,"1,299.45",,"1,999.45",,"1,999.45",,,,,,
,-,,-,,NOTES,,,,,,,,,,,,,,
,,,,,Remember to make copies of the worksheet before entering daily expenses.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BAL:,"1,999.45",,"1,999.45",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
